代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低
123102.SZ,华自转债,153,-0.011,3951621400,6413509944,5.8979423880597,华自科技,17.12,0.0264,9.26,184.8812,-0.1724,87.7332,-3.2893,1.108,65.296,INF,119,INF,5.7068,20270312,670000000,AA-,AA-,偏股型,135.76
123103.SZ,震安转债,154.998,0.0039,119024800,186467308,0.417630877192982,震安科技,77.55,0.0188,56.89,136.3157,0.1371,74.8521,-4.2702,0.8219,80.176,INF,115,INF,5.7068,20270312,285000000,A+,A+,偏股型,168.708
123104.SZ,卫宁转债,121.362,0.0198,14240500,17251844,0.0146769181615332,卫宁健康,15.9,0.0392,17.76,89.527,0.3556,96.9119,0.5401,-0.0759,24.478,INF,120,INF,5.7178,20270316,970265000,AA,AA,平衡型,156.922
123105.SZ,拓尔转债,108.669,-0.0012,6370800,6960885,0.0079635,拓尔思,8.7,-0.0068,9.93,87.6133,0.2403,83.5091,1.9458,0.0495,25.188,INF,115,INF,5.726,20270319,800000000,AA-,AA-,平衡型,132.699
123106.SZ,正丹转债,111.009,0.001,32697400,36329458,0.102179375,正丹股份,7.86,0.0116,7.5,104.8,0.0592,86.4036,2.198,0.2141,24.689,INF,120,INF,5.7397,20270324,320000000,AA-,AA-,偏股型,116.929
123107.SZ,温氏转债,106.62,0.0015,49959200,53385131,0.00537369043777563,温氏股份,14.22,0.0194,17.82,79.798,0.3361,91.2491,1.0317,-0.125,15.417,INF,108,INF,5.7534,20270329,9297000000,AAA,AAA,平衡型,140.23
123108.SZ,乐普转2,128.199,0.0063,16749800,21493641,0.0102257631257631,乐普医疗,31.96,0.0323,29.5,108.339,0.1833,92.6863,-2.995,0.1693,35.546,INF,107.8,INF,4.7562,20260330,1638000000,AA+,AA+,平衡型,146.529
123109.SZ,昌红转债,117,-0.0002,5774600,6776629,0.0125534782608696,昌红科技,27.22,-0.0109,28.06,97.0064,0.2061,83.1727,0.5957,0.1666,33.848,INF,115,INF,5.7616,20270401,460000000,AA-,AA-,平衡型,137.61
123110.SZ,九典转债,139.167,0.0203,60853800,83771672,0.225384444444444,九典制药,36.4,0.0069,26.44,137.6702,0.0109,74.3968,-2.3861,0.8512,64.799,INF,115,INF,5.7616,20270401,270000000,A+,A+,偏股型,140.257
123111.SZ,东财转3,148.22,0.0297,1403358700,2081362173,0.088820170886076,东方财富,32.7,0.0721,23.35,140.0428,0.0584,87.6813,-4.9996,0.5975,60.555,INF,107,INF,5.7781,20270407,15800000000,AA+,AA+,偏股型,154.06
123112.SZ,万讯转债,112.191,-0.0028,2800400,3142933,0.0113966560475856,万讯自控,8.73,-0.0158,8.93,97.7604,0.1476,85.4359,1.838,0.1445,26.776,INF,118,INF,5.7808,20270408,245721200,AA-,AA-,平衡型,126.951
123113.SZ,仙乐转债,120,0.0152,118225600,150203765,0.115354101877377,仙乐健康,58.95,0.131,56.92,103.5664,0.1587,81.178,-0.22,0.2761,38.842,INF,113,INF,5.811,20270419,1024892900,AA-,AA-,偏股型,135.87
123114.SZ,三角转债,139.7,0.0014,19569900,27281611,0.0216391980872488,三角防务,37.47,-0.005,31.82,117.7561,0.1864,82.304,-2.4423,0.431,57.412,INF,115,INF,5.9096,20270525,904372700,AA-,AA-,偏股型,158.34
123115.SZ,捷捷转债,0,0,0,0,0,捷捷微电,36.99,0.0517,29,127.5517,0,80.3373,0,0.733,0,INF,113,INF,5.9479,0,1195000000,AA-,AA-,偏股型,0
123116.SZ,万兴转债,0,0,0,0,0,万兴科技,58.51,-0.0486,49.78,117.5372,0,73.0815,0,0.6088,0,INF,115,INF,5.9507,20270609,378750000,A+,A+,偏股型,0
123117.SZ,健帆转债,0,0,0,0,0,健帆生物,86.5,0.0412,90.6,95.4746,0,87.8976,0,0.0863,0,INF,110,INF,5.989,20270623,1000000000,AA,AA,平衡型,0
127003.SZ,海印转债,105.678,0.0017,3557000,3756054,0.00320177924231699,海印股份,2.07,-0.0048,3,69,0.5316,106.5812,4.2896,-0.3526,-0.896,INF,110,INF,0.9479,20220608,1110944800,AA,AA,偏债型,158.838
127004.SZ,模塑转债,166.14,-0.0062,18057700,30082421,0.137438179191675,模塑科技,5.73,-0.0069,7.46,76.8097,1.163,100.0493,-18.621,-0.232,66.123,INF,110,INF,1.9315,20230602,131387800,AA-,AA-,偏债型,282.44
127005.SZ,长证转债,118.2,0.01,37232600,44099922,0.00745169281611909,长江证券,7.38,0.0151,7.28,101.3736,0.166,99.0515,-3.2241,0.0241,19.211,INF,105,INF,2.7068,20240312,4996529100,AAA,AAA,平衡型,134.8
127006.SZ,敖东转债,102.29,0.0021,8910100,9101005,0.00370132895326886,吉林敖东,15.38,0.0098,20.42,75.3183,0.3581,97.8328,1.8322,-0.2296,4.526,INF,105,100.118,2.7096,20240313,2407270500,AA+,AA+,偏债型,138.1
127007.SZ,湖广转债,102.215,0.0075,13262400,13540077,0.0108846699685731,湖北广电,4.07,0.015,5.58,72.9391,0.4014,101.172,3.2564,-0.2783,1.143,INF,108,INF,3.0027,20240628,1218447600,AA+,AA+,偏债型,142.355
127011.SZ,中鼎转2,121.9,0.0091,3585000,4368603,0.00298807196677564,中鼎股份,11.76,-0.0068,11.39,103.2485,0.1806,100.2181,-1.7092,0.031,21.754,INF,110,100.358,3.6959,20250308,1199770300,AA+,AA+,平衡型,139.96
127012.SZ,招路转债,108.115,0.0034,6950300,7508738,0.00139010484478229,招商公路,7.57,0.0093,8.63,87.7173,0.2325,94.8231,-0.0539,-0.0735,13.444,INF,105,INF,3.7342,20250322,4999838700,AAA,AAA,平衡型,131.365
