代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低,pure_debt_prem,debt_rank,equity_rank,rank,自定义rank,,
127014.SZ,北方转债,112.951,0.0505,316769500,359145197,0.592338759,北方国际,8.42,0.1007,8.65,97.341,0.1604,98.1426,0.446,-0.0075,14.873,inf,110,100.433,4.326,20251024,534777600,AA+,AA+,平衡型,128.991,0.150886567,118,190,308,118,,
110051.SH,中天转债,115.54,0.0035,27007000,31156755,0.006812676,中天科技,10.02,-0.005,9.99,100.3003,0.1519,99.2431,-0.5407,0.0114,16.368,inf,109,inf,3.674,20250228,3964228000,AA+,AA+,平衡型,130.73,0.16421192,129,181,310,129,,
128071.SZ,合兴转债,106.859,0.0006,6590600,7048603,0.021972937,合兴包装,3.76,-0.0027,4.28,87.8505,0.2164,96.5011,1.7833,-0.0888,10.443,inf,110,inf,4.137,20250816,299941700,AA,AA,平衡型,128.499,0.107334528,89,221.5,310.5,89,,
113026.SH,核能转债,106.22,-0.0035,20373000,21685222,0.002612008,中国核电,5.11,-0.0058,5.86,87.2014,0.2181,95.897,0.7685,-0.0892,10.477,inf,105,inf,3.8,20250415,7799745000,AAA,AAA,平衡型,128.03,0.107646746,90,223,313,90,,
128096.SZ,奥瑞转债,123.372,-0.0002,1382400,1704771,0.002035813,奥瑞金,5.21,0.0058,4.5,115.7778,0.0656,97.1309,-1.4436,0.1923,26.271,inf,110,inf,4.6274,20260211,679040900,AA+,AA+,平衡型,129.932,0.270162224,211,103,314,211,,
113609.SH,永安转债,114.87,0.0033,46558000,53358188,0.062680985,永安行,18.63,0.0027,16.48,113.0461,0.0161,84.9912,0.9048,0.3308,29.925,inf,115,inf,5.411,20261124,742777100,AA-,AA-,偏股型,116.48,0.35155169,259,55.5,314.5,259,,
123086.SZ,海兰转债,111.3,-0.0071,13531200,15073802,0.018556613,海兰信,11.43,-0.0197,10.88,105.0551,0.0594,86.7625,1.9596,0.2114,24.58,inf,118,inf,5.4575,20261211,729184800,AA-,AA-,偏股型,117.24,0.282812275,217,99,316,217,,
127020.SZ,中金转债,111.6,0.0051,29211000,32684496,0.00768961,中金岭南,4.56,0.0156,4.63,98.4881,0.1331,93.6015,0.3736,0.0527,18.041,inf,110,inf,5.063,20260720,3798762000,AA+,AA+,平衡型,124.91,0.192288585,154,163,317,154,,
123048.SZ,应急转债,117.6,-0.0249,80058200,95230920,0.210953936,中船应急,9.67,-0.0435,8.9,108.6517,0.0824,94.1264,-0.8816,0.1547,23.508,inf,108,inf,4.7863,20260410,379505600,AA+,AA+,平衡型,125.84,0.249383807,201,116,317,201,,
123106.SZ,正丹转债,111.009,0.001,32697400,36329458,0.102179375,正丹股份,7.86,0.0116,7.5,104.8,0.0592,86.4036,2.198,0.2141,24.689,inf,120,inf,5.7397,20270324,320000000,AA-,AA-,偏股型,116.929,0.284772857,220,97.5,317.5,220,,
