secID,tickerBond,secShortNameBond,tickerEqu,secShortNameEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
113524.XSHG,113524,奇精转债,603677,奇精机械,2020-01-03,3.3,3.2995699999999997,105.01,14.56,12.59,16.367,0.003824,0.011559999999999999,21.4412,97.67688299999999,7.5075259999999995,102.42082148760598,1.0252798061447628,4.743938487605991,3.9452054794520546,0.35558139574505304,14.56,2023-12-13
113017.XSHG,113017,吉视转债,601929,吉视传媒,2020-01-03,15.6,15.592262,104.15,2.95,2.19,2.847,0.016991,0.043587,40.2933,95.169175,9.436696000000001,95.64666794838935,1.088903588948849,0.4774929483893611,2.9808219178082194,0.36336043505037807,2.95,2022-12-26
128018.XSHE,128018,时达转债,002527,新时达,2020-01-03,8.825057000000001,8.822639,99.72200000000001,7.45,5.31,6.903,-1e-05,0.013651,39.9112,94.695302,5.308286,95.57332027512457,1.043408345686147,0.8780182751245741,2.841095890410959,0.31326832358219686,7.45,2022-11-05
128056.XSHE,128056,今飞转债,002863,今飞凯达,2020-01-03,3.68,3.6797910000000003,101.711,6.78,5.68,7.3839999999999995,-0.002736,0.011345000000000001,21.4085,85.145191,19.455954000000002,87.32218590821651,1.1647784459599697,2.1769949082165123,4.153424657534247,0.3882263327493384,6.78,2024-02-27
123026.XSHE,123026,中环转债,300692,中环环保,2020-01-03,2.9,2.328821,111.2,12.31,12.64,16.432000000000002,0.005398,0.023658000000000002,8.2968,93.019975,19.544216,99.71472379471882,1.1151813470288074,6.694748794718817,3.4328767123287673,0.451881887045719,12.31,2023-06-09
113535.XSHG,113535,大业转债,603278,大业股份,2020-01-03,5.0,4.9998309999999995,101.7,12.56,9.41,12.232999999999999,-0.004405,0.018834,35.7441,96.081862,5.847241,98.29724968110098,1.0346169433014487,2.2153876811009714,3.345205479452055,0.31110289622567,12.56,2023-05-08
127007.XSHE,127007,湖广转债,000665,湖北广电,2020-01-03,17.33592,13.214229999999999,116.0,5.61,5.42,7.046,0.011158,0.035705,20.0664,96.637147,20.036657,99.09242663290291,1.170624274140876,2.4552796329029154,3.4821917808219176,0.4108457143502899,5.61,2023-06-27
110053.XSHG,110053,苏银转债,600919,江苏银行,2020-01-03,200.0,199.996221,119.01,7.56,7.24,9.412,0.000336,0.02586,24.2701,100.466951,18.456865,102.84973949663507,1.157124953183704,2.3827884966350665,4.1945205479452055,0.18955996792572,7.56,2024-03-13
110031.XSHG,110031,航信转债,600271,航天信息,2020-01-03,24.0,23.98789186,126.8,21.79,23.72,30.836,0.0063490000000000005,0.052282,16.4827,104.051218,21.863061,107.84447078546472,1.1757672792724214,3.793252785464718,0.4383561643835616,0.3595122434076481,21.79,2020-06-11
113534.XSHG,113534,鼎胜转债,603876,鼎胜新材,2020-01-03,12.54,11.986153,112.97,15.28,15.83,20.579,-0.00999,0.024671000000000002,9.0449,93.88915,20.322743,101.61776773620414,1.1117150328795435,7.72861773620415,4.265753424657534,0.40629822667592336,15.28,2024-04-08
128069.XSHE,128069,华森转债,002907,华森制药,2020-01-03,3.0,2.999919,107.25,18.08,16.57,21.541,-1.9e-05,0.014405000000000001,17.0235,98.100251,9.326937,105.79212153073837,1.0137805958342374,7.691870530738363,4.473972602739726,0.4440355737550765,18.08,2024-06-23
128064.XSHE,128064,司尔转债,002538,司尔特,2020-01-03,8.0,7.999604,101.728,6.15,4.86,6.318,0.000226,0.019686000000000002,28.7298,93.899326,8.337306,95.68688074130462,1.0631342479961063,1.787554741304617,4.263013698630137,0.3519536319460278,6.15,2024-04-07
113508.XSHG,113508,新凤转债,603225,新凤鸣,2020-01-03,21.53,21.522410999999998,110.01,15.91,12.47,16.211,0.004658,0.020217,40.3575,95.405829,15.30742,98.4949188960708,1.1169104074909653,3.0890898960708046,3.3095890410958906,0.3129127535911568,15.91,2023-04-25
128022.XSHE,128022,众信转债,002707,众信旅游,2020-01-03,7.0,6.9992339999999995,107.0,7.91,6.48,8.424,0.012309,0.014218000000000001,30.6126,94.014423,13.812323999999998,96.31507603631356,1.1109371907639665,2.300653036313564,2.9095890410958902,0.43092509530079587,7.91,2022-11-30
113505.XSHG,113505,杭电转债,603618,杭电股份,2020-01-03,7.8,7.499534,103.7,7.24,5.58,7.254,-0.000482,0.01319,34.5498,95.933851,8.095317,98.1869090450673,1.0561489409184093,2.253058045067291,3.16986301369863,0.47497028997612045,7.24,2023-03-05
128073.XSHE,128073,哈尔转债,002615,哈尔斯,2020-01-03,3.0,3.0,109.02,5.8,5.58,,0.002022,0.019822,13.3182,96.681123,12.762446,98.97550584514362,1.1014846458129945,2.2943828451436152,3.632876712328767,0.3981443689919525,5.8,2023-08-21
128036.XSHE,128036,金农转债,002548,金新农,2020-01-03,6.5,1.4713559999999999,109.85,9.62,8.98,11.674000000000001,0.0009109999999999999,0.014781,17.6789,94.00194599999999,16.859282999999998,98.52672666154143,1.11492590611841,4.524780661541439,3.1780821917808217,0.5747790540720844,9.62,2023-03-08
128050.XSHE,128050,钧达转债,002865,钧达股份,2020-01-03,3.2,3.1993970000000003,100.103,21.66,15.83,20.579,0.00103,0.007072,36.9697,103.07032,-2.8789279999999997,110.09404015110661,0.9092499454339792,7.023720151106611,3.9342465753424656,0.49582994407357045,21.66,2023-12-09
128033.XSHE,128033,迪龙转债,002658,雪迪龙,2020-01-03,5.2,5.198439,104.8,8.93,7.21,9.373,-0.000839,-0.015324,29.8008,93.745204,11.792385000000001,96.05944573099818,1.0909910962163845,2.3142417309981793,2.9808219178082194,0.37503878604752333,8.93,2022-12-26
110052.XSHG,110052,贵广转债,600996,贵广网络,2020-01-03,16.0,15.266201,120.2,8.04,8.27,10.751,0.010169,0.025772000000000003,16.857,99.57458299999999,20.713535999999998,103.94506571195318,1.1563800472558419,4.3704827119531835,4.16986301369863,0.5235359053207335,8.04,2024-03-04
128058.XSHE,128058,拓邦转债,002139,拓邦股份,2020-01-03,5.73,5.7277569999999995,120.102,5.54,5.73,7.449,-0.0013390000000000001,0.012733,16.1195,101.500244,18.326810000000002,104.14249738862748,1.153246782164409,2.642253388627484,4.175342465753425,0.39420483208606155,5.54,2024-03-06
128010.XSHE,128010,顺昌转债,002245,澳洋顺昌,2020-01-03,5.1,5.095383,105.759,9.26,4.18,5.434,0.001354,0.007718000000000001,134.289,104.050914,1.641587,104.11488340029777,1.0157913695526217,0.06396940029775862,1.0520547945205478,0.42075803992318433,9.26,2021-01-21
128037.XSHE,128037,岩土转债,002542,中化岩土,2020-01-03,6.0366,6.032722,97.666,8.01,3.81,4.953,0.007271,0.01619,105.3293,95.84044300000001,1.9047880000000001,96.25655408358465,1.0146425968583028,0.4161110835846412,3.1945205479452055,0.3478647512468028,8.01,2023-03-14
110055.XSHG,110055,伊力转债,600197,伊力特,2020-01-03,8.76,8.759433,113.33,17.25,15.94,20.721999999999998,-0.014265,0.008364,22.6438,94.33800699999999,20.131857,100.42141377616724,1.1285441594419807,6.083406776167247,4.197260273972603,0.3599859172801069,17.25,2024-03-14
110038.XSHG,110038,济川转债,600566,济川药业,2020-01-03,8.4316,6.30888,108.48,38.81,24.1,30.125,-0.004771,0.0207,74.6933,97.473124,11.292216,100.11211959612359,1.0835850887748102,2.6389955961235856,1.8602739726027397,0.3675776707037575,38.81,2021-11-12
